gene	count
ENSPTRG00000000001	266
ENSPTRG00000000008	4
ENSPTRG00000000009	9
ENSPTRG00000000017	34
ENSPTRG00000000021	100
ENSPTRG00000000024	1246
ENSPTRG00000000025	1027
ENSPTRG00000000027	1530
ENSPTRG00000000028	1797
ENSPTRG00000000029	815
ENSPTRG00000000031	105
ENSPTRG00000000033	10
ENSPTRG00000000034	286
ENSPTRG00000000035	67
ENSPTRG00000000037	771
ENSPTRG00000000038	416
ENSPTRG00000000040	17
ENSPTRG00000000041	27
ENSPTRG00000000044	1735
ENSPTRG00000000047	88
ENSPTRG00000000048	62
ENSPTRG00000000049	627
ENSPTRG00000000050	67
ENSPTRG00000000051	0
ENSPTRG00000000052	0
ENSPTRG00000000053	238
ENSPTRG00000000054	711
ENSPTRG00000000055	2
ENSPTRG00000000057	0
ENSPTRG00000000059	125
ENSPTRG00000000060	11
ENSPTRG00000000062	36
ENSPTRG00000000063	1854
ENSPTRG00000000064	275
ENSPTRG00000000067	5
ENSPTRG00000000068	767
ENSPTRG00000000069	271
ENSPTRG00000000070	165
ENSPTRG00000000072	828
ENSPTRG00000000075	6755
ENSPTRG00000000076	2179
ENSPTRG00000000078	368
ENSPTRG00000000079	633
ENSPTRG00000000081	1
ENSPTRG00000000082	510
ENSPTRG00000000084	1244
ENSPTRG00000000085	4
ENSPTRG00000000088	758
ENSPTRG00000000089	418
ENSPTRG00000000090	2
ENSPTRG00000000091	697
ENSPTRG00000000092	363
ENSPTRG00000000093	347
ENSPTRG00000000094	873
ENSPTRG00000000096	6388
ENSPTRG00000000098	416
ENSPTRG00000000099	456
ENSPTRG00000000100	10
ENSPTRG00000000102	716
ENSPTRG00000000103	308
ENSPTRG00000000104	129
ENSPTRG00000000106	2104
ENSPTRG00000000109	4590
ENSPTRG00000000111	5
ENSPTRG00000000112	99
ENSPTRG00000000113	153
ENSPTRG00000000114	245
ENSPTRG00000000115	148
ENSPTRG00000000120	224
ENSPTRG00000000121	8095
ENSPTRG00000000124	159
ENSPTRG00000000125	5
ENSPTRG00000000126	157
ENSPTRG00000000127	536
ENSPTRG00000000128	56
ENSPTRG00000000130	388
ENSPTRG00000000131	221
ENSPTRG00000000132	736
ENSPTRG00000000133	5
