gene	count
ENSPTRG00000000001	268
ENSPTRG00000000008	2
ENSPTRG00000000009	3
ENSPTRG00000000017	41
ENSPTRG00000000021	78
ENSPTRG00000000024	739
ENSPTRG00000000025	872
ENSPTRG00000000027	1257
ENSPTRG00000000028	1840
ENSPTRG00000000029	633
ENSPTRG00000000031	94
ENSPTRG00000000033	7
ENSPTRG00000000034	464
ENSPTRG00000000035	45
ENSPTRG00000000037	1186
ENSPTRG00000000038	522
ENSPTRG00000000040	19
ENSPTRG00000000041	15
ENSPTRG00000000044	1455
ENSPTRG00000000047	129
ENSPTRG00000000048	55
ENSPTRG00000000049	852
ENSPTRG00000000050	159
ENSPTRG00000000051	0
ENSPTRG00000000052	0
ENSPTRG00000000053	258
ENSPTRG00000000054	759
ENSPTRG00000000055	1
ENSPTRG00000000057	0
ENSPTRG00000000059	97
ENSPTRG00000000060	6
ENSPTRG00000000062	38
ENSPTRG00000000063	2633
ENSPTRG00000000064	284
ENSPTRG00000000067	4
ENSPTRG00000000068	997
ENSPTRG00000000069	386
ENSPTRG00000000070	153
ENSPTRG00000000072	1307
ENSPTRG00000000075	5957
ENSPTRG00000000076	2703
ENSPTRG00000000078	286
ENSPTRG00000000079	971
ENSPTRG00000000081	0
ENSPTRG00000000082	549
ENSPTRG00000000084	1988
ENSPTRG00000000085	0
ENSPTRG00000000088	626
ENSPTRG00000000089	553
ENSPTRG00000000090	4
ENSPTRG00000000091	765
ENSPTRG00000000092	387
ENSPTRG00000000093	284
ENSPTRG00000000094	922
ENSPTRG00000000096	6884
ENSPTRG00000000098	498
ENSPTRG00000000099	1025
ENSPTRG00000000100	4
ENSPTRG00000000102	835
ENSPTRG00000000103	588
ENSPTRG00000000104	240
ENSPTRG00000000106	2400
ENSPTRG00000000109	6848
ENSPTRG00000000111	0
ENSPTRG00000000112	99
ENSPTRG00000000113	133
ENSPTRG00000000114	159
ENSPTRG00000000115	270
ENSPTRG00000000120	265
ENSPTRG00000000121	14257
ENSPTRG00000000124	180
ENSPTRG00000000125	0
ENSPTRG00000000126	293
ENSPTRG00000000127	520
ENSPTRG00000000128	83
ENSPTRG00000000130	528
ENSPTRG00000000131	314
ENSPTRG00000000132	713
ENSPTRG00000000133	18
ENSPTRG00000000134	0
ENSPTRG00000000136	0
ENSPTRG00000000137	0
ENSPTRG00000000138	0
ENSPTRG00000000140	109
ENSPTRG00000000142	988
ENSPTRG00000000143	7
ENSPTRG00000000144	124
ENSPTRG00000000145	167
ENSPTRG00000000146	1730
ENSPTRG00000000147	3347
ENSPTRG00000000148	146
ENSPTRG00000000149	245
ENSPTRG00000000150	83
ENSPTRG00000000151	52
ENSPTRG00000000152	0
ENSPTRG00000000153	273
ENSPTRG00000000154	1424
ENSPTRG00000000155	295
ENSPTRG00000000156	3
ENSPTRG00000000157	218
ENSPTRG00000000158	307
ENSPTRG00000000159	2180
ENSPTRG00000000160	221
ENSPTRG00000000161	3
ENSPTRG00000000164	131
ENSPTRG00000000165	1426
ENSPTRG00000000167	194
ENSPTRG00000000168	0
ENSPTRG00000000170	0
ENSPTRG00000000182	35
ENSPTRG00000000184	100
ENSPTRG00000000185	4052
ENSPTRG00000000186	139
ENSPTRG00000000193	64
ENSPTRG00000000194	11
ENSPTRG00000000197	2
ENSPTRG00000000200	214
ENSPTRG00000000201	54
ENSPTRG00000000202	10
ENSPTRG00000000205	2842
ENSPTRG00000000206	77
ENSPTRG00000000207	4
ENSPTRG00000000208	84
ENSPTRG00000000210	1690
ENSPTRG00000000211	351
ENSPTRG00000000214	27
ENSPTRG00000000217	3
ENSPTRG00000000221	10
ENSPTRG00000000223	29
ENSPTRG00000000224	220
ENSPTRG00000000225	383
ENSPTRG00000000226	504
ENSPTRG00000000227	1
ENSPTRG00000000228	201
ENSPTRG00000000232	16
ENSPTRG00000000238	388
ENSPTRG00000000239	0
ENSPTRG00000000241	2919
ENSPTRG00000000242	620
ENSPTRG00000000243	1531
ENSPTRG00000000244	0
ENSPTRG00000000245	2
ENSPTRG00000000246	0
ENSPTRG00000000247	696
ENSPTRG00000000248	502
ENSPTRG00000000249	1
ENSPTRG00000000250	1199
ENSPTRG00000000253	141
ENSPTRG00000000254	0
ENSPTRG00000000255	266
ENSPTRG00000000256	437
ENSPTRG00000000257	1716
ENSPTRG00000000261	505
ENSPTRG00000000262	1431
ENSPTRG00000000263	5
ENSPTRG00000000264	80
ENSPTRG00000000265	240
ENSPTRG00000000266	558
ENSPTRG00000000268	2359
ENSPTRG00000000269	749
ENSPTRG00000000271	38
ENSPTRG00000000272	81
ENSPTRG00000000274	0
ENSPTRG00000000275	28
ENSPTRG00000000276	1
ENSPTRG00000000277	2
ENSPTRG00000000278	24
ENSPTRG00000000279	0
ENSPTRG00000000280	0
ENSPTRG00000000282	12
ENSPTRG00000000286	6
ENSPTRG00000000287	28868
ENSPTRG00000000288	344
ENSPTRG00000000290	2
ENSPTRG00000000291	4077
ENSPTRG00000000294	360
ENSPTRG00000000295	856
ENSPTRG00000000296	1800
ENSPTRG00000000297	3574
ENSPTRG00000000298	601
ENSPTRG00000000300	242
ENSPTRG00000000302	94
ENSPTRG00000000303	3362
ENSPTRG00000000304	771
ENSPTRG00000000306	0
ENSPTRG00000000307	22
ENSPTRG00000000315	376
ENSPTRG00000000316	38
