gene	count
ENSGGOG00000000269	0
ENSGGOG00000000270	0
ENSGGOG00000000271	168
ENSGGOG00000000272	32
ENSGGOG00000000273	85
ENSGGOG00000000274	4508
ENSGGOG00000000276	73
ENSGGOG00000000277	41
ENSGGOG00000000279	24
ENSGGOG00000000280	0
ENSGGOG00000000281	51
ENSGGOG00000000282	11
ENSGGOG00000000283	147
ENSGGOG00000000284	2
ENSGGOG00000000285	706
ENSGGOG00000000286	128
ENSGGOG00000000287	11
ENSGGOG00000000288	2417
ENSGGOG00000000290	78
ENSGGOG00000000291	4
ENSGGOG00000000292	684
ENSGGOG00000000293	40
ENSGGOG00000000294	1248
ENSGGOG00000000295	8
ENSGGOG00000000296	4
ENSGGOG00000000298	123
ENSGGOG00000000299	260
ENSGGOG00000000300	584
ENSGGOG00000000301	0
ENSGGOG00000000302	6
ENSGGOG00000000303	66
ENSGGOG00000000304	799
ENSGGOG00000000305	1226
ENSGGOG00000000306	715
ENSGGOG00000000307	653
ENSGGOG00000000308	189
ENSGGOG00000000309	2554
ENSGGOG00000000311	0
ENSGGOG00000000312	1
ENSGGOG00000000313	1
ENSGGOG00000000314	948
ENSGGOG00000000316	1
ENSGGOG00000000318	1228
ENSGGOG00000000319	642
ENSGGOG00000000320	2277
ENSGGOG00000000321	8
ENSGGOG00000000322	0
ENSGGOG00000000323	46
ENSGGOG00000000324	30
ENSGGOG00000000325	322
ENSGGOG00000000326	356
ENSGGOG00000000327	416
ENSGGOG00000000329	11
ENSGGOG00000000330	1795
ENSGGOG00000000331	16
ENSGGOG00000000332	1731
ENSGGOG00000000333	281
ENSGGOG00000000335	161
ENSGGOG00000000336	60
ENSGGOG00000000337	919
ENSGGOG00000000338	3503
ENSGGOG00000000340	0
ENSGGOG00000000342	316
ENSGGOG00000000343	17
ENSGGOG00000000344	46
ENSGGOG00000000345	365
ENSGGOG00000000346	970
ENSGGOG00000000347	1743
ENSGGOG00000000348	668
ENSGGOG00000000349	27
ENSGGOG00000000350	0
ENSGGOG00000000351	110
ENSGGOG00000000352	14
ENSGGOG00000000353	7
ENSGGOG00000000354	662
ENSGGOG00000000355	347
ENSGGOG00000000356	51
ENSGGOG00000000358	7601
ENSGGOG00000000359	1188
ENSGGOG00000000360	119
ENSGGOG00000000361	279
ENSGGOG00000000362	5
ENSGGOG00000000363	3
ENSGGOG00000000364	12991
ENSGGOG00000000365	219
ENSGGOG00000000367	0
ENSGGOG00000000368	165
ENSGGOG00000000369	0
ENSGGOG00000000370	111
ENSGGOG00000000371	941
ENSGGOG00000000372	1769
ENSGGOG00000000373	582
ENSGGOG00000000374	1678
ENSGGOG00000000376	540
ENSGGOG00000000377	647
ENSGGOG00000000378	42
ENSGGOG00000000379	328
ENSGGOG00000000380	82
ENSGGOG00000000381	259
ENSGGOG00000000382	7542
ENSGGOG00000000383	35
