gene	count
ENSPTRG00000000377	2
ENSPTRG00000000378	121
ENSPTRG00000000380	152
ENSPTRG00000000381	24
ENSPTRG00000000382	0
ENSPTRG00000000383	2
ENSPTRG00000000384	1
ENSPTRG00000000385	354
ENSPTRG00000000386	0
ENSPTRG00000000387	48
ENSPTRG00000000388	860
ENSPTRG00000000392	79
ENSPTRG00000000394	0
ENSPTRG00000000395	1230
ENSPTRG00000000396	26
ENSPTRG00000000397	0
ENSPTRG00000000401	129
ENSPTRG00000000402	433
ENSPTRG00000000403	23
ENSPTRG00000000404	65
ENSPTRG00000000405	0
ENSPTRG00000000406	5
ENSPTRG00000000408	16
ENSPTRG00000000409	263
ENSPTRG00000000410	0
ENSPTRG00000000411	0
ENSPTRG00000000413	12
ENSPTRG00000000414	138
ENSPTRG00000000416	796
ENSPTRG00000000417	165
ENSPTRG00000000419	77
ENSPTRG00000000420	68
ENSPTRG00000000421	4
ENSPTRG00000000422	69
ENSPTRG00000000423	308
ENSPTRG00000000424	1
ENSPTRG00000000426	780
ENSPTRG00000000428	976
ENSPTRG00000000429	324
ENSPTRG00000000431	56
ENSPTRG00000000432	49
ENSPTRG00000000434	53
ENSPTRG00000000436	6
ENSPTRG00000000437	82
ENSPTRG00000000438	59
ENSPTRG00000000439	375
ENSPTRG00000000440	35
ENSPTRG00000000442	195
ENSPTRG00000000444	2
ENSPTRG00000000445	1086
ENSPTRG00000000446	149
ENSPTRG00000000447	222
ENSPTRG00000000449	10
ENSPTRG00000000450	52
ENSPTRG00000000451	201
ENSPTRG00000000453	1170
ENSPTRG00000000454	61
ENSPTRG00000000455	161
ENSPTRG00000000456	595
ENSPTRG00000000457	322
ENSPTRG00000000458	1
ENSPTRG00000000461	64
ENSPTRG00000000462	6
ENSPTRG00000000463	484
ENSPTRG00000000464	234
ENSPTRG00000000465	2666
ENSPTRG00000000466	4
ENSPTRG00000000469	775
ENSPTRG00000000470	117
ENSPTRG00000000471	156
ENSPTRG00000000472	365
ENSPTRG00000000473	107
ENSPTRG00000000474	112
ENSPTRG00000000475	106
ENSPTRG00000000476	539
ENSPTRG00000000478	5
ENSPTRG00000000479	0
ENSPTRG00000000482	932
ENSPTRG00000000483	9
ENSPTRG00000000484	747
ENSPTRG00000000485	21
ENSPTRG00000000489	106
ENSPTRG00000000490	445
ENSPTRG00000000491	1299
ENSPTRG00000000492	103
ENSPTRG00000000493	479
ENSPTRG00000000494	1734
ENSPTRG00000000495	126
ENSPTRG00000000496	155
ENSPTRG00000000499	327
ENSPTRG00000000501	170
ENSPTRG00000000502	99
ENSPTRG00000000503	466
ENSPTRG00000000505	669
ENSPTRG00000000506	19
ENSPTRG00000000507	47
ENSPTRG00000000512	2
ENSPTRG00000000513	216
ENSPTRG00000000514	2200
ENSPTRG00000000515	172
ENSPTRG00000000516	27
ENSPTRG00000000518	1398
ENSPTRG00000000519	556
ENSPTRG00000000521	459
ENSPTRG00000000522	8509
ENSPTRG00000000523	17
ENSPTRG00000000524	268
ENSPTRG00000000526	39
ENSPTRG00000000527	264
ENSPTRG00000000528	42
ENSPTRG00000000529	27
ENSPTRG00000000531	175
ENSPTRG00000000532	4
ENSPTRG00000000533	375
ENSPTRG00000000534	1419
ENSPTRG00000000535	1150
ENSPTRG00000000537	39
ENSPTRG00000000538	60
ENSPTRG00000000539	107
ENSPTRG00000000540	25
ENSPTRG00000000541	232
ENSPTRG00000000542	14
ENSPTRG00000000543	175
ENSPTRG00000000544	25
ENSPTRG00000000547	149
ENSPTRG00000000548	78
ENSPTRG00000000549	143
ENSPTRG00000000550	22
ENSPTRG00000000551	86
ENSPTRG00000000552	14
ENSPTRG00000000553	216
ENSPTRG00000000556	129
ENSPTRG00000000557	138
ENSPTRG00000000558	307
ENSPTRG00000000559	192
ENSPTRG00000000560	106
ENSPTRG00000000561	115
ENSPTRG00000000563	1376
ENSPTRG00000000564	378
ENSPTRG00000000566	45
ENSPTRG00000000567	0
ENSPTRG00000000568	1216
ENSPTRG00000000572	4
ENSPTRG00000000573	325
ENSPTRG00000000575	9
ENSPTRG00000000576	4158
ENSPTRG00000000577	121
ENSPTRG00000000578	15
ENSPTRG00000000579	107
ENSPTRG00000000580	15
ENSPTRG00000000581	105
ENSPTRG00000000583	951
ENSPTRG00000000584	917
ENSPTRG00000000585	414
ENSPTRG00000000586	0
ENSPTRG00000000587	201
ENSPTRG00000000589	1225
ENSPTRG00000000590	21
ENSPTRG00000000591	39
ENSPTRG00000000592	36
ENSPTRG00000000593	25
ENSPTRG00000000594	112
ENSPTRG00000000596	507
ENSPTRG00000000597	234
ENSPTRG00000000598	18
ENSPTRG00000000599	157
ENSPTRG00000000600	154
ENSPTRG00000000601	222
ENSPTRG00000000602	0
ENSPTRG00000000603	425
ENSPTRG00000000604	0
ENSPTRG00000000606	816
ENSPTRG00000000607	40
ENSPTRG00000000608	5
ENSPTRG00000000612	655
ENSPTRG00000000614	44
ENSPTRG00000000616	0
ENSPTRG00000000617	91
ENSPTRG00000000618	67
ENSPTRG00000000621	31
ENSPTRG00000000622	81
ENSPTRG00000000623	579
ENSPTRG00000000624	2
ENSPTRG00000000625	349
ENSPTRG00000000626	11
ENSPTRG00000000631	48
ENSPTRG00000000634	2
ENSPTRG00000000635	120
ENSPTRG00000000636	235
ENSPTRG00000000639	110
ENSPTRG00000000640	196
ENSPTRG00000000641	1356
ENSPTRG00000000643	429
ENSPTRG00000000644	318
ENSPTRG00000000645	53
ENSPTRG00000000646	367
ENSPTRG00000000648	768
ENSPTRG00000000649	576
ENSPTRG00000000650	83
ENSPTRG00000000652	0
ENSPTRG00000000655	70
ENSPTRG00000000656	352
ENSPTRG00000000657	70
ENSPTRG00000000658	10
ENSPTRG00000000659	39
ENSPTRG00000000661	14
ENSPTRG00000000662	29
ENSPTRG00000000663	0
ENSPTRG00000000664	210
ENSPTRG00000000665	119
ENSPTRG00000000667	379
ENSPTRG00000000668	294
ENSPTRG00000000669	28
ENSPTRG00000000670	10
ENSPTRG00000000672	77
ENSPTRG00000000673	22
ENSPTRG00000000675	656
ENSPTRG00000000676	99
ENSPTRG00000000677	392
ENSPTRG00000000679	5
ENSPTRG00000000680	472
ENSPTRG00000000681	155
ENSPTRG00000000683	606
ENSPTRG00000000685	517
ENSPTRG00000000686	7
ENSPTRG00000000687	353
ENSPTRG00000000688	35
ENSPTRG00000000689	37
ENSPTRG00000000690	290
ENSPTRG00000000691	748
ENSPTRG00000000692	16
ENSPTRG00000000693	149
ENSPTRG00000000697	67
ENSPTRG00000000701	644
ENSPTRG00000000702	0
ENSPTRG00000000705	0
ENSPTRG00000000706	110
ENSPTRG00000000707	7
ENSPTRG00000000708	0
ENSPTRG00000000709	0
ENSPTRG00000000711	38
ENSPTRG00000000712	456
ENSPTRG00000000716	5
ENSPTRG00000000718	63
ENSPTRG00000000721	309
ENSPTRG00000000723	2305
ENSPTRG00000000724	0
ENSPTRG00000000725	177
ENSPTRG00000000726	58
ENSPTRG00000000728	19
ENSPTRG00000000729	1338
ENSPTRG00000000730	195
ENSPTRG00000000731	685
ENSPTRG00000000732	37
ENSPTRG00000000733	322
ENSPTRG00000000735	413
ENSPTRG00000000736	482
ENSPTRG00000000737	202
ENSPTRG00000000738	4
ENSPTRG00000000739	248
ENSPTRG00000000740	261
ENSPTRG00000000741	17
ENSPTRG00000000744	2
ENSPTRG00000000745	85
ENSPTRG00000000746	15
ENSPTRG00000000747	99
ENSPTRG00000000748	284
ENSPTRG00000000749	27
ENSPTRG00000000750	3
ENSPTRG00000000751	77
ENSPTRG00000000752	49
ENSPTRG00000000753	40
ENSPTRG00000000754	276
ENSPTRG00000000755	0
ENSPTRG00000000756	51
ENSPTRG00000000757	97
ENSPTRG00000000759	89
ENSPTRG00000000761	0
ENSPTRG00000000762	32
ENSPTRG00000000763	80
ENSPTRG00000000764	622
ENSPTRG00000000765	42
ENSPTRG00000000766	16
ENSPTRG00000000769	416
ENSPTRG00000000770	73
ENSPTRG00000000771	31
ENSPTRG00000000772	14
ENSPTRG00000000773	127
ENSPTRG00000000776	10
ENSPTRG00000000777	23
ENSPTRG00000000778	0
ENSPTRG00000000779	1105
ENSPTRG00000000782	2
ENSPTRG00000000783	1
ENSPTRG00000000784	456
ENSPTRG00000000787	707
ENSPTRG00000000788	8
ENSPTRG00000000790	4
ENSPTRG00000000791	0
ENSPTRG00000000792	0
ENSPTRG00000000793	21
ENSPTRG00000000795	3
ENSPTRG00000000796	64
ENSPTRG00000000798	8
ENSPTRG00000000799	485
ENSPTRG00000000800	70
ENSPTRG00000000801	2
ENSPTRG00000000802	49
ENSPTRG00000000803	60
ENSPTRG00000000806	54
ENSPTRG00000000809	8
ENSPTRG00000000810	348
ENSPTRG00000000811	149
ENSPTRG00000000812	1
ENSPTRG00000000813	153
ENSPTRG00000000815	39
ENSPTRG00000000816	10
ENSPTRG00000000819	0
ENSPTRG00000000820	261
ENSPTRG00000000822	0
ENSPTRG00000000823	95
ENSPTRG00000000824	140
ENSPTRG00000000825	657
ENSPTRG00000000827	9
ENSPTRG00000000829	1556
ENSPTRG00000000831	381
ENSPTRG00000000832	105
ENSPTRG00000000835	1
ENSPTRG00000000837	264
ENSPTRG00000000838	187
ENSPTRG00000000839	0
ENSPTRG00000000840	5
ENSPTRG00000000842	169
ENSPTRG00000000845	268
ENSPTRG00000000846	2
ENSPTRG00000000847	7
ENSPTRG00000000848	204
ENSPTRG00000000850	157
ENSPTRG00000000852	939
ENSPTRG00000000853	265
ENSPTRG00000000854	55
ENSPTRG00000000855	1
ENSPTRG00000000856	1087
ENSPTRG00000000857	540
ENSPTRG00000000861	54
ENSPTRG00000000862	15
ENSPTRG00000000863	1229
ENSPTRG00000000865	329
ENSPTRG00000000867	223
ENSPTRG00000000868	0
ENSPTRG00000000869	23
ENSPTRG00000000871	85
ENSPTRG00000000873	2
ENSPTRG00000000874	0
ENSPTRG00000000875	0
ENSPTRG00000000877	96
ENSPTRG00000000878	244
ENSPTRG00000000880	3542
ENSPTRG00000000881	328
ENSPTRG00000000882	715
ENSPTRG00000000884	502
ENSPTRG00000000886	56
ENSPTRG00000000888	222
ENSPTRG00000000889	291
ENSPTRG00000000891	25
ENSPTRG00000000892	25
ENSPTRG00000000893	24
ENSPTRG00000000894	21
ENSPTRG00000000896	506
ENSPTRG00000000898	149
ENSPTRG00000000899	3398
ENSPTRG00000000900	2
ENSPTRG00000000901	123
ENSPTRG00000000902	40
ENSPTRG00000000903	4
ENSPTRG00000000904	28
ENSPTRG00000000906	1079
ENSPTRG00000000907	15
ENSPTRG00000000908	4
ENSPTRG00000000909	5
ENSPTRG00000000910	4
ENSPTRG00000000912	18
ENSPTRG00000000913	229
ENSPTRG00000000914	59
ENSPTRG00000000915	2055
ENSPTRG00000000916	48
ENSPTRG00000000917	205
ENSPTRG00000000919	132
ENSPTRG00000000921	5
ENSPTRG00000000922	0
ENSPTRG00000000923	10
ENSPTRG00000000925	542
ENSPTRG00000000927	39
ENSPTRG00000000929	7069
ENSPTRG00000000931	238
ENSPTRG00000000932	128
ENSPTRG00000000934	14
ENSPTRG00000000935	18
ENSPTRG00000000937	11
ENSPTRG00000000938	18
ENSPTRG00000000939	3
ENSPTRG00000000940	1
ENSPTRG00000000942	33
