gene	WT1	WT2	WT3	DL1	DL2	DL3	E41	E42	E43	XG1	XG2	XG3
CCNA_01723	6	8	3	27	32	53	16	27	21	15	8	9
CCNA_01724	8	17	26	37	51	74	24	43	21	19	14	12
CCNA_01725	7	24	30	67	84	96	21	76	37	15	20	20
CCNA_01726	28	17	21	38	71	61	18	38	23	28	12	15
CCNA_01727	15	20	6	59	56	77	26	36	32	24	16	9
CCNA_01728	6	11	2	31	23	45	10	20	7	11	4	9
CCNA_01729	20	28	6	71	78	94	27	38	28	32	15	19
CCNA_01730	143	142	77	230	306	297	67	118	99	98	40	76
CCNA_01731	21	24	13	72	94	116	53	67	48	31	14	21
CCNA_01732	27	45	17	205	221	347	83	190	115	63	27	29
CCNA_01733	6	9	3	17	25	38	8	23	13	19	5	6
CCNA_01734	7	14	4	17	25	29	4	18	14	12	3	6
CCNA_01735	3	3	3	15	14	24	4	13	7	3	1	2
CCNA_01736	10	5	4	17	35	28	8	15	10	14	3	7
CCNA_01737	46	24	19	67	100	86	29	43	39	31	27	27
CCNA_01738	445	183	206	429	638	405	93	113	105	399	562	583
CCNA_01739	13	22	8	40	49	68	16	33	19	23	25	21
CCNA_01740	10	12	6	27	19	49	9	19	13	7	11	5
CCNA_01741	13	13	10	41	51	54	22	39	27	21	18	16
CCNA_01742	9	15	12	101	80	114	36	54	44	31	30	18
CCNA_01743	16	18	5	83	93	97	31	58	39	27	14	12
CCNA_01744	6	8	10	41	60	79	18	29	21	14	12	20
CCNA_01745	27	13	15	39	44	44	8	13	16	22	29	24
CCNA_01746	2	11	3	22	24	32	8	16	11	7	6	3
CCNA_01747	6	11	3	33	37	53	8	15	8	13	8	9
CCNA_01748	10	15	9	58	53	66	18	28	25	32	3	27
CCNA_01749	128	60	105	68	102	108	25	26	17	50	70	57
CCNA_01750	39	36	24	108	93	137	29	65	36	55	41	37
CCNA_01751	10	20	7	66	64	96	32	51	37	27	11	14
CCNA_01752	12	18	8	61	84	105	31	67	29	29	11	19
CCNA_01753	15	21	12	96	131	209	60	70	66	47	17	32
CCNA_01754	10	13	2	43	54	46	8	32	18	24	15	28
CCNA_01755	72	144	34	459	560	771	234	473	309	191	64	91
CCNA_01756	33	33	33	93	126	100	30	50	49	34	23	13
CCNA_01757	12	9	7	17	27	35	12	11	13	12	10	13
CCNA_01758	6	6	7	28	37	46	8	17	14	8	7	13
CCNA_01759	25	24	31	52	67	92	27	49	32	25	24	34
CCNA_01760	71	67	45	138	171	172	41	87	50	65	40	64
CCNA_01761	10	9	6	36	36	56	10	27	17	14	10	13
CCNA_01762	8	10	8	44	38	64	13	32	11	13	8	16
CCNA_01763	18	12	18	58	72	71	15	17	21	27	24	21
CCNA_01764	10	11	2	34	34	38	14	18	7	20	5	11
CCNA_01765	23	23	17	32	31	38	15	25	19	10	8	15
CCNA_01766	156	103	90	105	125	138	43	49	56	61	59	47
CCNA_01767	780	661	671	677	860	814	246	313	341	428	222	295
CCNA_01768	314	360	307	386	451	397	169	234	187	209	107	148
CCNA_01769	17	37	5	46	65	86	28	59	39	30	14	23
CCNA_01770	9	7	8	30	40	43	18	36	25	17	28	11
CCNA_01771	3	2	2	12	11	10	4	10	11	7	11	5
CCNA_01772	0	1	5	11	10	12	2	4	6	1	2	2
CCNA_01773	6	11	19	36	28	34	18	18	16	16	7	12
CCNA_01774	2	6	0	13	19	19	7	11	5	5	2	4
CCNA_01775	13	10	4	40	46	51	19	31	14	14	7	5
CCNA_01776	15	12	14	33	47	54	7	21	17	15	24	16
CCNA_01777	14	16	10	41	48	61	24	33	27	13	12	21
CCNA_01778	8	15	7	47	62	54	18	36	21	22	6	15
CCNA_01779	6	4	1	14	17	25	6	18	8	13	9	5
CCNA_01780	23	58	11	78	77	108	33	59	37	34	19	27
CCNA_01781	9	13	10	17	35	16	6	17	13	11	3	12
CCNA_01782	144	66	96	212	284	257	37	67	67	112	79	80
CCNA_R0145	11	10	5	44	41	50	5	15	11	14	11	8
CCNA_01783	12	13	3	45	46	55	14	15	13	12	9	7
CCNA_01784	39	15	27	52	47	72	12	13	21	23	17	33
CCNA_01785	49	25	24	55	77	90	13	21	18	20	32	30
CCNA_01786	24	15	16	57	67	105	12	16	19	22	19	28
CCNA_01787	6	13	4	19	37	43	18	22	20	12	8	11
CCNA_R0042	8	8	1	19	14	23	8	15	6	17	12	9
CCNA_01788	15	30	11	68	49	58	26	44	28	31	29	20
CCNA_01789	4	9	1	11	15	20	5	16	6	11	4	3
CCNA_01790	48	31	32	61	102	136	31	46	37	42	30	22
CCNA_01791	96	56	47	314	353	447	64	124	88	87	72	48
CCNA_01792	7	6	6	28	33	45	9	21	13	14	6	9
CCNA_01793	47	64	22	117	122	128	59	87	65	44	17	18
CCNA_01794	11	18	7	62	77	75	26	51	34	15	8	11
CCNA_01795	23	27	11	67	87	97	25	44	27	36	35	22
CCNA_01797	5	5	6	20	18	14	2	11	5	8	4	6
CCNA_01799	30	30	16	55	61	67	17	33	21	34	23	27
CCNA_01800	36	32	21	53	45	75	16	22	21	24	24	22
CCNA_01801	20	12	14	39	65	49	11	13	15	30	21	26
CCNA_R0146	5	5	3	12	19	12	3	5	4	8	5	5
CCNA_01802	6	4	8	14	8	9	1	5	5	6	4	15
CCNA_01803	16	10	8	30	36	45	9	22	14	16	12	16
CCNA_01804	10	7	4	20	19	25	7	6	5	14	7	10
CCNA_01805	17	22	12	74	81	94	19	54	33	22	21	27
CCNA_01806	20	16	16	65	66	90	28	40	28	36	12	20
CCNA_01807	42	37	14	81	116	145	29	51	43	36	26	37
