gene	WT1	WT2	WT3	DL1	DL2	DL3	E41	E42	E43	XG1	XG2	XG3
CCNA_R0094	6	6	3	26	32	42	8	16	11	17	3	6
CCNA_00001	13	11	9	78	90	104	26	49	22	24	11	12
CCNA_00002	11	9	5	51	67	77	13	23	23	14	15	12
CCNA_00003	10	4	4	29	51	69	19	22	19	7	11	15
CCNA_00004	4	6	3	28	34	55	11	15	24	12	3	8
CCNA_00005	15	19	12	57	81	93	16	27	21	17	11	11
CCNA_00006	14	20	23	51	75	77	18	37	27	25	7	16
CCNA_R0095	19	30	25	69	93	109	26	41	36	34	16	20
CCNA_00007	13	13	3	44	52	79	17	30	26	23	15	14
CCNA_00008	142	162	40	684	812	1042	236	442	303	281	199	174
CCNA_00009	8	8	4	32	39	52	19	18	7	11	3	4
CCNA_00010	267	127	255	397	533	521	89	153	113	173	203	157
CCNA_00011	86	48	73	133	124	151	32	62	43	36	24	35
CCNA_00012	20	43	12	147	169	238	46	92	63	36	28	27
CCNA_R0096	2	1	0	5	6	6	3	1	4	0	0	1
CCNA_00013	235	116	130	275	319	385	63	99	103	116	96	132
CCNA_00014	33	28	22	52	67	78	18	32	19	19	13	17
CCNA_00015	5	6	2	46	69	75	10	20	17	6	8	17
CCNA_00016	4	7	5	23	22	32	6	13	11	5	5	6
CCNA_00017	3	4	2	19	19	23	4	15	10	2	3	3
CCNA_00018	22	28	20	104	145	177	32	54	40	34	23	23
CCNA_00019	12	11	4	58	60	74	20	27	27	24	9	13
CCNA_00020	41	25	33	71	84	92	12	32	20	17	14	15
CCNA_03911	26	15	20	36	36	47	11	15	16	24	9	11
CCNA_00021	142	118	83	270	417	355	76	144	115	212	167	111
CCNA_00022	41	27	22	80	101	85	19	44	34	63	34	31
CCNA_00023	77	69	42	74	102	102	25	44	25	37	30	23
CCNA_00024	33	35	36	64	97	92	15	54	30	36	20	19
CCNA_00025	38	37	24	115	159	182	37	69	51	52	22	26
CCNA_00026	17	18	4	79	98	163	28	73	31	29	18	19
CCNA_00027	23	24	8	55	86	88	23	45	24	38	18	31
CCNA_R0097	5	3	3	12	18	25	6	12	10	6	3	4
CCNA_00028	88	130	39	427	563	736	221	419	279	188	165	108
CCNA_00029	28	35	7	119	174	209	38	86	49	49	23	38
CCNA_00030	12	21	7	78	111	96	60	108	62	33	14	17
CCNA_00031	15	9	9	60	60	79	34	74	49	27	14	13
CCNA_00032	21	8	20	36	42	43	20	28	17	21	6	14
CCNA_03912	23	18	15	57	76	83	24	37	32	33	14	23
CCNA_00033	124	139	67	298	329	367	89	202	143	167	109	116
CCNA_00034	36	50	23	232	271	329	86	161	93	69	102	48
CCNA_00035	54	51	58	183	266	263	70	119	92	77	108	53
CCNA_00036	2	7	2	32	42	45	23	29	21	13	2	9
CCNA_00037	13	16	10	48	59	64	18	43	31	36	14	14
CCNA_00038	6	13	6	41	39	65	12	23	22	17	15	14
CCNA_00039	20	24	22	61	77	106	25	37	23	30	20	18
CCNA_00040	15	21	11	46	62	69	18	28	16	25	16	10
CCNA_00041	106	108	41	355	434	594	136	302	179	152	103	80
CCNA_R0098	12	8	7	52	42	67	19	41	30	12	5	10
CCNA_00042	14	12	8	61	61	101	16	48	33	20	9	14
CCNA_00043	14	46	17	200	233	309	77	161	115	68	23	32
CCNA_00044	6	22	11	125	148	219	44	82	69	37	17	21
CCNA_00045	13	4	3	46	54	72	11	27	21	9	13	19
CCNA_00046	9	6	5	20	26	48	4	20	10	7	6	8
CCNA_00047	4	7	5	28	47	47	17	26	14	17	7	8
CCNA_00048	391	274	124	436	556	517	70	132	118	253	182	326
CCNA_00049	55	50	22	159	198	217	36	50	39	30	19	16
CCNA_00050	14	17	6	60	92	77	31	54	31	25	10	15
CCNA_00051	61	29	40	108	110	149	38	70	46	41	38	34
CCNA_00052	11	9	12	34	33	65	11	33	9	11	6	14
CCNA_00053	3	9	4	35	54	71	15	31	14	19	10	8
CCNA_00054	17	21	10	112	126	185	32	70	32	29	17	20
CCNA_00055	79	54	82	106	140	178	35	57	38	56	36	43
CCNA_00056	1	6	2	22	28	33	9	21	7	6	2	6
CCNA_00057	5	16	2	40	58	88	19	39	23	17	11	8
CCNA_00058	20	26	15	57	67	95	14	32	16	30	13	18
CCNA_00059	341	121	219	244	348	360	44	60	44	164	96	164
CCNA_00060	208	103	167	141	201	186	37	56	38	106	61	101
CCNA_00061	41	35	24	114	191	186	36	64	48	70	44	62
CCNA_00062	42	27	18	110	164	171	31	49	35	50	58	41
CCNA_03913	1	0	1	4	4	2	0	0	3	3	0	2
CCNA_00063	12	22	6	56	82	97	28	42	18	33	9	20
CCNA_00064	14	19	9	58	76	98	25	48	37	28	13	12
CCNA_03914	0	0	0	0	2	0	0	0	0	0	1	0
CCNA_00065	5	5	2	34	33	32	6	13	15	11	5	6
CCNA_00066	1	9	1	17	24	28	5	10	4	7	2	3
CCNA_00067	4	6	1	9	11	15	5	7	5	5	1	1
CCNA_00068	3	8	2	27	26	34	11	16	16	6	5	5
CCNA_00069	1	4	3	32	36	53	11	25	16	11	9	8
CCNA_00070	12	6	4	24	29	39	8	11	9	10	8	5
CCNA_00071	1	2	2	18	20	15	7	9	18	6	3	6
CCNA_00072	20	28	19	70	78	79	25	39	31	19	19	29
CCNA_00073	40	22	32	86	121	102	26	38	37	49	18	31
CCNA_R0001	3	2	5	4	12	7	0	3	0	2	6	2
CCNA_00074	96	77	38	262	342	382	86	172	104	101	64	67
CCNA_00075	51	57	23	167	277	270	65	108	61	68	46	43
CCNA_00076	35	21	17	93	112	121	31	39	34	37	29	28
CCNA_00077	22	37	13	223	250	330	66	147	104	70	53	47
CCNA_00078	53	88	25	360	465	591	150	281	182	120	60	59
CCNA_00079	20	23	11	114	188	219	57	71	67	50	30	27
CCNA_00080	68	90	34	280	423	413	122	234	143	185	88	88
CCNA_00081	70	114	47	278	385	341	83	156	104	293	151	182
CCNA_00082	15	19	9	91	122	140	41	85	42	22	20	31
CCNA_00083	5	5	3	60	57	98	19	60	30	16	11	13
CCNA_00084	14	18	8	110	136	150	34	83	49	33	14	19
CCNA_00085	18	16	18	69	80	100	25	44	25	32	17	18
CCNA_00086	129	117	77	453	623	734	150	318	213	217	145	163
CCNA_R0002	97	98	48	161	148	157	40	91	75	85	54	47
CCNA_00087	18	18	16	58	84	118	27	49	33	29	19	26
CCNA_00088	43	31	22	97	126	145	33	58	36	39	21	20
CCNA_00089	25	28	24	120	142	167	48	84	50	51	20	28
CCNA_00090	18	13	7	52	43	88	14	41	28	12	8	5
CCNA_00091	24	37	16	73	95	99	17	52	49	35	11	21
CCNA_00092	33	32	24	71	94	97	20	41	38	44	17	23
CCNA_00093	4	0	0	10	15	19	4	6	3	9	7	3
CCNA_00094	6	10	5	24	28	34	12	14	10	12	5	5
CCNA_00095	5	8	5	22	48	56	12	21	18	16	9	14
CCNA_00096	1	5	4	12	11	20	4	16	7	4	5	5
CCNA_00097	5	10	2	10	26	36	10	10	14	10	9	4
CCNA_00098	1	5	0	10	14	23	8	11	5	1	3	3
CCNA_00099	8	9	8	42	56	66	22	37	24	18	6	16
CCNA_00100	13	23	8	44	64	58	15	42	21	20	19	14
CCNA_00101	9	4	5	18	23	41	6	27	19	12	8	12
CCNA_00102	1	3	1	7	10	7	0	2	4	3	3	0
CCNA_00103	49	43	33	110	144	144	23	72	30	63	54	36
CCNA_00104	10	9	3	44	45	55	18	33	16	16	8	15
CCNA_00105	3	10	4	26	24	38	11	26	6	9	8	7
CCNA_00106	30	12	14	57	70	94	15	41	17	26	13	14
CCNA_00107	49	21	29	93	96	114	20	29	16	32	20	25
CCNA_00108	42	30	16	78	93	100	26	37	21	50	32	26
CCNA_00109	70	39	29	137	188	196	31	40	28	77	58	79
CCNA_00110	7	6	0	19	21	35	5	14	4	5	4	10
CCNA_00111	23	23	23	59	81	95	19	37	24	27	18	20
CCNA_00112	7	6	14	22	21	32	6	15	10	8	7	6
CCNA_00113	7	9	1	48	102	103	29	62	39	26	6	16
CCNA_00114	10	16	3	69	104	120	29	52	35	28	5	24
CCNA_00115	42	75	29	279	335	476	112	235	156	112	66	66
CCNA_R0099	12	9	7	35	35	40	11	16	19	14	9	8
CCNA_00116	19	26	5	68	121	150	26	61	55	32	17	24
CCNA_00117	17	24	16	89	103	162	35	76	57	35	17	21
CCNA_00118	75	61	39	220	270	364	69	174	86	92	42	60
CCNA_00119	15	16	12	66	72	102	21	44	24	26	13	10
CCNA_00120	6	5	3	38	44	46	9	19	17	16	6	13
CCNA_00121	31	30	13	53	70	62	20	39	20	30	13	19
CCNA_00122	47	41	38	64	84	117	34	48	30	34	23	28
CCNA_00123	42	36	45	114	143	175	41	60	50	73	44	36
CCNA_00124	451	246	375	512	723	643	106	119	142	454	328	331
CCNA_00125	7	8	8	24	37	38	13	17	11	20	6	6
CCNA_00126	18	7	4	34	45	72	10	16	13	30	16	12
CCNA_00127	50	21	46	53	89	76	12	24	19	39	16	37
CCNA_00128	10	11	10	64	84	103	25	54	31	20	18	15
CCNA_00129	2	2	3	11	19	22	8	8	2	2	2	6
CCNA_00130	37	37	43	148	188	227	53	106	67	53	38	42
CCNA_00131	99	36	55	109	160	127	20	36	23	66	48	48
CCNA_00132	20	16	8	74	82	101	26	40	31	32	28	28
CCNA_00133	28	43	11	207	246	353	96	170	119	54	28	20
CCNA_00134	20	22	11	97	116	148	33	68	38	40	16	24
CCNA_00135	206	172	132	292	390	349	98	151	129	165	108	97
CCNA_00136	44	70	32	190	241	302	74	172	81	93	27	53
CCNA_00137	5	11	3	53	55	97	16	41	36	15	4	11
CCNA_00138	35	54	15	162	191	268	66	142	82	74	29	58
CCNA_00139	49	39	19	72	108	128	26	65	35	41	20	24
CCNA_00140	32	20	22	60	76	95	19	37	27	20	16	23
CCNA_00141	9	15	10	32	39	47	11	23	9	11	9	13
CCNA_00142	15	14	9	32	36	38	8	15	8	17	15	8
CCNA_00143	17	14	10	47	47	60	16	30	28	32	10	11
CCNA_00144	11	6	4	33	49	56	8	26	19	13	8	8
CCNA_00145	12	13	4	42	45	57	10	39	16	12	11	8
CCNA_00146	6	9	0	31	30	41	16	22	9	11	8	2
CCNA_00147	155	123	162	226	282	252	87	125	112	90	38	61
CCNA_00148	95	132	156	453	510	647	202	312	232	142	61	68
CCNA_00149	62	60	102	295	300	398	97	177	137	96	40	51
CCNA_00150	217	127	164	413	485	526	131	215	141	197	118	117
CCNA_00151	8	29	6	129	136	210	49	113	77	35	15	18
CCNA_00152	145	124	76	283	347	397	103	214	133	126	64	71
CCNA_00153	254	154	114	340	437	390	75	128	110	150	76	124
CCNA_00154	107	50	42	111	167	137	18	38	24	63	39	47
CCNA_00155	34	44	12	137	194	249	71	105	101	46	32	28
CCNA_00156	4	0	8	18	22	28	3	14	2	6	5	4
CCNA_00157	9	12	6	46	54	52	4	12	6	7	10	6
CCNA_R0100	8	7	15	26	38	39	7	28	11	11	9	10
CCNA_00158	55	67	28	166	216	258	67	144	109	72	26	49
CCNA_00159	261	265	87	540	714	779	198	367	227	237	111	153
CCNA_00160	18	15	8	75	86	110	20	46	25	35	24	30
CCNA_00161	612	429	314	718	1004	908	176	260	225	508	401	354
CCNA_00162	527	332	314	780	1006	1007	180	253	220	499	485	365
CCNA_00163	158	105	102	252	293	357	89	141	111	135	94	82
CCNA_00164	47	43	37	102	128	137	31	56	43	58	41	42
CCNA_00165	33	23	17	79	110	90	10	26	17	51	36	33
CCNA_03915	0	1	4	8	2	5	4	8	2	4	4	3
CCNA_00166	19	13	22	28	30	34	13	18	8	19	25	10
CCNA_00167	303	224	179	307	395	384	111	167	152	177	141	137
CCNA_00168	372	421	271	468	637	574	213	301	355	287	186	194
CCNA_00169	13	43	17	164	190	248	61	123	80	44	28	44
CCNA_00170	25	42	16	147	182	226	52	106	78	65	28	34
CCNA_00171	5	8	4	31	43	44	13	25	25	21	3	6
CCNA_00172	24	39	12	106	140	185	56	97	59	59	19	29
CCNA_00173	7	6	3	37	36	63	14	29	17	17	4	13
CCNA_00174	9	9	1	28	25	49	9	15	14	16	7	11
CCNA_00175	15	9	6	16	30	33	8	15	11	10	7	14
CCNA_00176	8	13	3	24	30	31	7	20	8	9	7	5
CCNA_00177	1	2	0	8	11	12	5	9	5	6	5	0
CCNA_00178	5	1	1	21	10	20	7	10	8	9	5	1
CCNA_00179	4	3	4	27	42	64	9	26	21	9	6	10
CCNA_00180	6	6	2	29	39	71	16	28	26	14	7	8
CCNA_00181	1	6	2	17	27	27	8	16	9	10	6	4
CCNA_00182	10	11	1	40	47	68	16	43	17	12	3	6
CCNA_00183	3	9	3	26	42	56	15	27	16	16	7	11
CCNA_00184	1	5	0	15	21	27	11	9	8	3	2	5
CCNA_00185	20	35	11	194	203	225	52	96	73	50	32	74
CCNA_R0003	2	2	0	7	10	18	2	12	4	1	1	1
CCNA_00186	9	19	8	51	55	63	24	36	17	20	6	18
CCNA_00187	5	5	4	21	43	50	15	33	19	15	7	16
CCNA_00188	17	18	15	51	59	90	22	31	21	22	22	19
CCNA_00189	9	5	1	24	19	36	9	16	12	10	12	8
CCNA_00190	4	5	3	25	25	31	13	17	17	16	7	5
CCNA_00191	18	23	12	47	77	81	22	28	27	34	23	17
CCNA_00192	29	31	11	98	113	136	36	72	53	39	26	27
CCNA_00193	8	8	6	29	26	38	15	15	9	15	15	18
CCNA_00194	3	1	3	10	16	10	5	4	9	5	4	2
CCNA_00195	9	8	7	23	40	41	11	15	12	11	15	20
CCNA_00196	27	15	10	53	67	67	21	34	26	28	30	23
CCNA_R0004	17	16	8	45	45	35	8	13	19	19	20	16
CCNA_00197	16	17	2	107	134	188	46	113	76	38	19	16
CCNA_00198	17	33	10	142	155	208	47	115	81	49	22	23
CCNA_00199	28	31	16	75	92	133	35	67	35	43	27	22
CCNA_00200	159	69	93	212	294	259	26	69	62	158	121	135
CCNA_00201	71	49	19	97	132	96	17	36	25	67	54	64
CCNA_00202	22	17	6	63	65	90	19	46	31	37	21	21
CCNA_00203	7	20	3	38	50	58	20	39	20	16	7	11
CCNA_00204	13	17	14	51	71	83	21	45	32	36	14	23
CCNA_00205	4	5	5	20	28	30	9	16	10	3	6	6
CCNA_03916	8	15	14	25	39	31	8	14	10	15	5	3
CCNA_00206	23	25	17	62	82	76	22	36	26	27	28	18
CCNA_00207	13	10	3	38	48	53	19	31	21	24	14	14
CCNA_00208	10	15	3	37	56	66	20	42	19	21	7	6
CCNA_00209	7	15	10	61	82	95	23	46	36	23	14	21
CCNA_00210	242	137	210	303	436	375	70	143	96	203	246	192
CCNA_00211	4	10	3	23	49	52	9	19	18	12	8	9
CCNA_00212	19	13	8	37	52	45	13	21	14	20	9	22
CCNA_00213	0	0	0	15	19	19	14	9	5	9	5	3
CCNA_00214	13	14	8	46	59	75	29	65	37	20	10	10
CCNA_R0101	3	2	2	6	3	4	1	0	3	0	0	0
CCNA_00215	9	12	11	48	53	59	25	38	29	19	26	16
CCNA_00216	21	46	16	66	73	61	15	25	9	21	15	20
CCNA_00217	79	50	53	126	153	184	42	63	45	53	44	51
CCNA_00218	20	28	17	55	89	97	22	51	33	20	15	13
CCNA_00220	25	15	15	38	51	54	17	36	22	34	33	28
CCNA_00221	8	7	0	30	35	22	11	24	9	10	1	8
CCNA_00222	15	22	3	92	115	138	49	77	53	24	22	29
CCNA_00223	10	21	8	58	74	99	21	59	29	19	8	10
CCNA_00224	48	106	54	431	561	696	183	391	218	112	60	67
CCNA_00225	2	2	1	1	5	4	2	0	0	0	1	0
CCNA_00226	29	21	15	45	64	62	14	19	20	41	35	21
CCNA_00227	5	10	2	12	20	29	12	30	10	7	3	9
CCNA_00228	8	9	4	36	40	29	11	31	13	15	10	7
CCNA_00229	7	11	4	26	49	33	9	20	16	17	5	10
CCNA_00230	15	16	13	43	49	70	15	34	21	25	12	10
CCNA_00231	0	7	4	9	13	14	5	11	6	6	2	2
CCNA_00232	4	9	0	18	20	27	8	17	14	5	3	5
CCNA_00233	5	15	12	46	63	73	22	57	26	28	14	13
CCNA_00234	6	10	2	34	39	38	23	23	12	13	3	10
CCNA_00235	2	3	5	12	18	17	3	7	3	6	3	2
CCNA_00236	16	14	8	36	64	74	8	39	18	16	18	16
CCNA_00237	71	67	51	134	183	214	67	115	78	67	51	49
CCNA_00238	22	40	21	167	155	229	76	155	92	70	16	45
CCNA_00239	4	12	2	13	23	36	6	11	9	11	5	3
CCNA_00240	4	13	6	39	46	65	26	31	20	13	7	5
CCNA_00241	14	15	3	46	63	70	18	27	24	17	18	17
CCNA_03917	51	79	31	195	191	167	56	110	78	184	145	84
CCNA_00243	3	7	4	52	73	71	13	23	19	82	46	64
CCNA_00244	9	13	2	45	38	70	16	24	18	16	3	7
CCNA_00245	3	5	4	18	27	22	9	12	7	7	1	4
CCNA_00246	26	30	45	66	94	87	28	51	26	41	30	30
CCNA_00247	116	125	149	140	154	181	62	76	63	86	53	66
CCNA_00248	86	95	97	125	158	171	49	97	52	58	33	38
CCNA_00249	9	6	2	33	32	40	13	14	13	14	7	8
CCNA_00250	29	30	23	123	148	173	37	75	54	37	27	33
CCNA_00251	18	13	16	53	63	88	23	34	25	30	10	21
CCNA_00252	43	41	38	109	179	191	70	96	59	61	42	55
CCNA_00253	15	23	12	70	75	110	19	56	36	30	27	28
CCNA_00254	16	11	11	35	41	69	27	30	15	19	9	28
CCNA_00255	13	10	9	37	43	53	18	19	12	15	10	19
CCNA_00256	14	7	3	37	29	47	14	22	10	13	6	8
CCNA_00257	159	132	64	178	262	266	77	103	92	88	52	56
CCNA_00259	27	34	14	79	122	148	24	77	37	48	19	40
CCNA_00260	19	19	10	75	93	140	27	40	29	28	14	21
CCNA_00261	340	365	131	590	783	667	140	199	165	283	225	167
CCNA_00262	167	157	114	373	523	438	108	192	105	213	97	121
CCNA_00263	451	183	262	659	824	779	69	98	90	299	161	216
CCNA_00264	30	23	15	41	62	76	23	60	40	32	16	24
CCNA_00265	110	76	75	217	277	357	92	154	79	103	71	92
CCNA_00266	13	14	6	89	98	110	34	58	37	32	16	14
CCNA_00267	26	17	10	57	94	103	22	60	22	40	29	21
CCNA_R0005	18	9	8	33	34	37	12	15	9	22	3	7
CCNA_00268	135	113	64	248	339	342	77	148	120	107	80	73
CCNA_00269	57	29	27	76	71	95	12	37	33	33	22	35
CCNA_00270	13	16	9	52	74	76	26	51	23	21	4	13
CCNA_00271	9	3	3	30	23	47	9	8	6	13	7	9
CCNA_00272	56	49	42	111	152	169	57	79	59	52	39	40
CCNA_00273	100	82	71	160	218	251	56	98	44	81	80	80
CCNA_00274	36	95	27	78	133	118	61	100	52	33	13	31
CCNA_00275	328	452	294	364	438	483	247	409	329	144	41	88
CCNA_00276	6	7	2	28	28	39	9	22	14	9	5	9
CCNA_00277	14	19	12	54	60	81	24	49	27	23	6	15
CCNA_00278	8	5	2	36	45	45	16	28	15	8	5	11
CCNA_00279	134	142	56	456	550	471	82	114	94	365	128	254
CCNA_00280	52	45	34	195	246	224	46	67	41	117	52	84
CCNA_00281	7	14	2	44	45	60	17	32	23	16	8	19
CCNA_00282	35	18	12	43	49	42	9	19	12	26	25	22
CCNA_00283	19	22	6	75	63	85	24	38	32	15	10	15
CCNA_00284	8	14	5	43	58	67	21	28	23	12	11	9
CCNA_00285	8	19	4	59	81	97	26	77	33	16	13	15
CCNA_00286	18	16	7	72	78	82	25	55	31	23	19	28
CCNA_00287	16	15	13	97	134	141	40	65	50	36	34	40
CCNA_00288	40	27	20	221	269	130	25	32	27	178	148	450
CCNA_00289	11	7	5	43	45	22	6	6	14	40	63	122
CCNA_00290	154	144	85	308	397	471	126	242	148	136	119	103
CCNA_00291	37	25	26	86	74	107	31	57	37	29	12	33
CCNA_00292	10	37	20	176	177	266	51	111	80	68	22	26
CCNA_00293	17	17	15	114	98	178	40	83	38	25	14	25
CCNA_00294	9	9	10	47	74	87	18	37	32	20	7	14
CCNA_00295	11	12	6	35	43	54	21	26	15	14	6	13
CCNA_00296	9	13	7	41	48	50	18	25	23	10	11	16
CCNA_00297	16	11	7	39	67	68	22	38	23	18	6	21
CCNA_00298	6	12	4	36	76	111	27	50	22	19	9	13
CCNA_00299	25	33	17	125	153	205	66	123	78	56	16	27
CCNA_00300	129	155	83	266	350	366	102	205	156	129	67	92
CCNA_00301	14	10	14	50	63	73	15	25	10	12	13	13
CCNA_00302	30	25	25	70	89	116	26	47	30	31	15	31
CCNA_00303	5	12	4	30	26	35	11	27	21	9	5	4
CCNA_00304	11	15	6	31	41	46	18	18	14	13	11	15
CCNA_00305	19	12	7	42	47	79	23	25	18	21	7	5
CCNA_00306	5	5	3	20	26	45	11	14	8	11	0	7
CCNA_00307	11	19	8	76	100	123	27	58	33	18	14	11
CCNA_00308	5	12	6	31	39	64	11	28	18	16	5	14
CCNA_R0102	1	3	3	6	10	13	2	4	3	4	0	3
CCNA_00309	14	21	11	28	36	41	5	14	10	12	24	13
CCNA_00310	10	17	5	39	58	52	14	30	14	22	14	11
CCNA_00311	22	18	7	68	93	125	32	62	34	40	14	19
CCNA_00312	7	8	6	26	19	35	10	13	6	21	13	8
CCNA_00313	30	26	16	127	131	171	46	81	58	45	32	30
CCNA_00314	3	14	5	35	48	51	10	23	18	18	7	9
CCNA_00315	28	23	19	103	129	172	45	100	62	45	25	16
CCNA_00316	5	7	5	59	72	78	22	41	34	24	7	12
CCNA_00317	18	16	6	108	114	194	43	108	69	34	21	28
CCNA_00318	56	72	34	187	237	283	65	149	90	74	40	51
CCNA_00319	13	20	3	93	113	142	46	86	57	33	17	14
CCNA_00320	9	12	8	61	72	75	22	37	32	23	9	10
CCNA_00321	9	25	8	57	113	135	31	68	56	26	18	18
CCNA_00322	8	12	3	34	28	52	18	28	21	16	9	7
CCNA_00323	100	53	76	146	178	184	53	94	54	62	49	53
CCNA_00324	75	37	54	120	135	162	40	68	38	69	68	73
CCNA_00326	11	7	7	45	46	64	17	30	18	13	6	17
CCNA_R0103	0	0	0	2	8	5	0	1	3	0	1	2
CCNA_00327	7	12	2	19	34	44	9	18	9	10	12	6
CCNA_00328	11	7	5	39	40	40	12	19	10	11	7	12
CCNA_00329	4	3	3	26	25	30	13	12	5	5	5	8
CCNA_00330	5	5	10	24	34	33	13	7	13	13	8	10
CCNA_00331	28	12	8	41	57	59	22	17	22	18	10	6
CCNA_00332	8	8	4	32	43	47	16	29	21	15	4	10
CCNA_00333	11	7	1	35	23	47	16	23	14	2	8	6
CCNA_00334	14	13	5	33	25	45	14	23	16	21	11	19
CCNA_00335	5	4	1	17	20	26	11	12	8	4	3	4
CCNA_00336	7	6	2	24	44	45	17	19	14	10	10	8
CCNA_00337	7	2	9	29	33	37	12	20	9	8	5	8
CCNA_00338	64	89	25	250	310	273	99	150	111	122	130	66
CCNA_00339	10	13	10	37	63	67	12	26	16	24	23	20
CCNA_00340	16	19	8	69	78	79	25	37	35	26	40	32
CCNA_00341	15	17	13	54	57	72	19	41	30	23	28	23
CCNA_00342	242	127	108	325	470	438	89	110	80	215	213	197
CCNA_00343	42	27	38	67	92	79	11	35	20	43	53	30
CCNA_00344	9	6	4	6	19	22	8	5	4	6	3	1
CCNA_00345	21	2	8	22	32	34	15	24	15	7	8	10
CCNA_00346	40	30	16	68	115	118	30	57	40	40	45	26
CCNA_00347	1	2	0	0	2	1	0	2	2	0	2	1
CCNA_R0104	0	1	0	1	1	1	0	2	1	0	0	0
CCNA_00348	12	19	12	45	28	45	22	22	19	22	18	18
CCNA_00349	5	12	6	25	25	26	11	22	17	8	9	5
CCNA_00350	3	2	0	11	11	17	8	10	9	4	4	1
CCNA_00351	6	16	6	46	59	58	22	38	31	28	7	7
CCNA_00352	7	19	8	54	69	90	38	67	32	17	18	10
CCNA_00353	14	20	16	106	122	159	46	108	59	23	13	13
CCNA_00354	15	27	26	87	120	139	27	72	52	43	26	22
CCNA_00355	12	21	7	62	55	96	19	51	23	22	10	22
CCNA_R0105	4	4	5	12	22	22	4	8	7	11	2	5
CCNA_00356	15	15	6	31	45	65	16	35	23	26	8	8
CCNA_00357	27	29	22	85	125	128	35	53	53	48	38	27
CCNA_00358	76	57	36	138	239	197	21	47	44	90	81	70
CCNA_00359	136	120	79	164	205	210	26	67	37	91	73	75
CCNA_00360	82	58	36	132	173	146	45	68	50	73	35	44
CCNA_00361	65	55	59	116	112	137	38	90	51	45	24	30
CCNA_00362	117	59	108	99	127	113	33	41	47	54	36	46
CCNA_00363	5	7	2	11	16	15	7	14	4	2	6	4
CCNA_00364	26	31	27	96	95	100	20	42	28	31	39	27
CCNA_00365	15	13	14	64	79	123	26	54	38	20	30	10
CCNA_00366	4	5	7	18	21	34	11	16	10	11	9	11
CCNA_00367	9	21	13	28	50	56	13	24	15	16	16	21
CCNA_00368	12	15	3	26	35	42	12	20	15	22	14	7
CCNA_00369	59	47	50	115	165	165	37	73	49	39	22	50
CCNA_03918	3	5	2	13	17	11	3	5	4	2	2	0
CCNA_00370	18	20	12	75	96	102	28	41	46	24	18	13
CCNA_00371	10	12	8	59	63	78	13	34	30	19	19	9
CCNA_00372	57	30	23	128	147	165	41	58	38	39	35	34
CCNA_00373	20	28	13	174	219	292	71	130	78	52	38	34
CCNA_00374	18	24	10	132	179	203	49	96	55	45	45	33
CCNA_00375	7	8	7	58	52	54	18	34	18	23	12	15
CCNA_00376	3	7	2	23	22	33	14	28	10	8	4	6
CCNA_00377	9	23	10	63	75	105	27	56	38	27	12	17
CCNA_00378	34	19	24	49	78	63	23	34	30	22	10	18
CCNA_00379	46	34	29	83	99	104	28	45	30	32	29	25
CCNA_R0106	2	6	7	14	12	15	2	5	4	3	3	2
CCNA_00380	12	13	15	45	36	48	9	16	14	18	8	11
CCNA_00381	5	7	3	11	21	54	14	27	16	7	5	3
CCNA_00382	8	13	8	47	54	107	19	45	33	11	15	19
CCNA_00383	8	23	2	59	76	83	26	71	44	21	12	16
CCNA_00384	27	28	20	87	128	135	24	58	35	43	30	38
CCNA_00385	22	22	17	86	114	127	40	59	49	36	17	24
CCNA_00386	3	13	6	34	44	61	14	23	9	8	7	11
CCNA_00387	9	10	10	23	28	42	12	15	10	19	10	5
CCNA_00388	21	27	17	45	67	77	21	35	28	25	16	17
CCNA_00389	5	8	6	16	38	41	14	24	9	12	7	9
CCNA_00390	123	122	77	223	329	289	58	141	99	76	46	55
CCNA_00391	39	54	29	104	118	113	28	54	34	27	15	27
CCNA_00392	75	67	49	158	179	231	70	77	71	47	57	38
CCNA_00393	20	12	7	37	56	62	22	26	18	9	12	16
CCNA_00394	34	21	24	38	60	58	11	20	15	16	11	21
CCNA_00395	20	25	16	39	56	105	32	31	26	31	15	15
CCNA_00396	5	7	3	12	25	31	6	15	9	9	5	3
CCNA_00397	10	6	9	27	48	45	13	23	15	19	19	20
CCNA_00398	45	30	46	113	107	155	35	73	42	53	56	43
CCNA_00399	40	48	24	103	137	127	17	50	30	54	33	48
CCNA_00400	8	14	6	15	32	40	10	14	10	8	5	5
CCNA_00401	22	19	20	50	87	85	19	40	20	23	15	10
CCNA_00402	10	7	1	26	25	26	7	20	20	11	3	6
CCNA_00403	48	52	20	146	156	155	33	47	47	72	62	46
CCNA_00404	7	12	2	36	47	46	12	16	11	18	11	10
CCNA_00405	17	14	8	48	60	64	20	34	15	23	19	9
CCNA_R0107	0	1	1	4	4	8	1	2	2	1	2	0
CCNA_00406	5	15	2	12	20	25	5	6	5	3	5	4
CCNA_00407	4	11	4	29	30	17	3	13	3	8	2	6
CCNA_00408	8	5	6	43	47	54	20	23	16	13	8	13
CCNA_00409	0	1	0	1	2	2	0	4	0	0	2	3
CCNA_00410	1	1	1	17	20	31	9	19	7	6	3	11
CCNA_00411	21	15	10	30	39	50	16	20	15	18	17	13
CCNA_00412	20	16	21	51	73	80	20	31	17	27	11	16
